gene	role	n_measurements	wu2025_dp_overlap
DEFA4	resister	1	NO
DEFB108B	resister	1	NO
DEFB130	resister	1	NO
DENND2D	resister	1	NO
DENND4C	resister	1	NO
DEPDC5	resister	1	NO
DESI1	resister	1	NO
DFNB31	resister	1	NO
DGKD	resister	1	NO
DHH	resister	1	NO
DHRS4L2	resister	1	NO
DHX16	resister	1	NO
DHX30	resister	1	NO
DHX34	resister	1	NO
DHX35	resister	1	NO
DHX36	resister	1	NO
DHX37	resister	1	NO
DHX58	resister	1	NO
DICER1	resister	1	NO
DLL1	resister	1	NO
DLL4	resister	1	NO
DNAH7	resister	1	NO
DNAH8	resister	1	NO
DNAJA3	resister	1	NO
DNAJB13	resister	1	NO
DNAJB6	resister	1	NO
DNAJB8	resister	1	NO
DNAJC2	resister	1	NO
DNAJC8	resister	1	NO
DNASE1L3	resister	1	NO
DNM1L	resister	1	NO
DNTTIP2	resister	1	NO
DOC2A	resister	1	NO
DOCK2	resister	1	NO
DOCK4	resister	1	NO
DOK7	resister	1	NO
DPF2	resister	1	NO
DPF3	resister	1	NO
DPH6	resister	1	NO
DPM2	resister	1	NO
DPP8	resister	1	NO
DPP9	resister	1	NO
DPPA5	resister	1	NO
DPY30	resister	1	NO
DPYD	resister	1	NO
DRG1	resister	1	NO
DSC2	resister	1	NO
DSCR3	resister	1	NO
DSG2	resister	1	NO
DST	resister	1	NO
DTL	resister	1	NO
DTNBP1	resister	1	NO
DUPD1	resister	1	NO
DUS3L	resister	1	NO
DUSP28	resister	1	NO
DUSP3	resister	1	NO
DUSP4	resister	1	NO
DUSP9	resister	1	NO
DXO	resister	1	NO
DYNLL1	resister	1	NO
DYNLL2	resister	1	NO
DYNLT1	resister	1	NO
E2F1	resister	1	NO
E2F4	resister	1	NO
E2F6	resister	1	NO
EBF2	resister	1	NO
EBI3	resister	1	NO
ECHDC3	resister	1	NO
ECHS1	resister	1	NO
ECI1	resister	1	NO
ECSIT	resister	1	NO
EDEM2	resister	1	NO
EDNRA	resister	1	NO
EEA1	resister	1	NO
EED	resister	1	NO
EEF1A1	resister	1	NO
EEF1B2	resister	1	NO
EEF2	resister	1	NO
EEFSEC	resister	1	NO
EFR3B	resister	1	NO
EGFR	resister	1	NO
EGLN1	resister	1	NO
EHBP1	resister	1	NO
EIF1AD	resister	1	NO
EIF2AK4	resister	1	NO
EIF2B2	resister	1	NO
EIF2B3	resister	1	NO
EIF2S2	resister	1	NO
EIF2S3	resister	1	NO
EIF3A	resister	1	NO
EIF3B	resister	1	NO
EIF3D	resister	1	NO
EIF3I	resister	1	NO
EIF4B	resister	1	NO
EIF4H	resister	1	NO
EIF5A	resister	1	NO
EIF5A2	resister	1	NO
EIF5B	resister	1	NO
ELAC2	resister	1	NO
ELMO3	resister	1	NO
ELMSAN1	resister	1	NO
ELOVL6	resister	1	NO
ELP2	resister	1	NO
ELP3	resister	1	NO
ELP4	resister	1	NO
ELP5	resister	1	NO
EME2	resister	1	NO
ENOX1	resister	1	NO
ENSA	resister	1	NO
ENTPD7	resister	1	NO
ENY2	resister	1	NO
EPC2	resister	1	NO
EPCAM	resister	1	NO
EPHA3	resister	1	NO
EPS15L1	resister	1	NO
EPS8	resister	1	NO
EQTN	resister	1	NO
ERBB2IP	resister	1	NO
ERC1	resister	1	NO
ERCC2	resister	1	NO
ERGIC3	resister	1	NO
ERH	resister	1	NO
ERMARD	resister	1	NO
ERMP1	resister	1	NO
ESD	resister	1	NO
ESF1	resister	1	NO
ESPL1	resister	1	NO
ESRRA	resister	1	NO
ETHE1	resister	1	NO
ETS1	resister	1	NO
ETV1	resister	1	NO
EVPL	resister	1	NO
EXOG	resister	1	NO
EXOSC2	resister	1	NO
EXOSC3	resister	1	NO
EXOSC4	resister	1	NO
EXOSC7	resister	1	NO
F11R	resister	1	NO
FAHD1	resister	1	NO
FAM107B	resister	1	NO
FAM115A	resister	1	NO
FAM122A	resister	1	NO
FAM129B	resister	1	NO
FAM170A	resister	1	NO
FAM179B	resister	1	NO
FAM195A	resister	1	NO
FAM200B	resister	1	NO
FAM208B	resister	1	NO
FAM216B	resister	1	NO
FAM222B	resister	1	NO
FAM47C	resister	1	NO
FAM50A	resister	1	NO
FAM53B	resister	1	NO
FAM60A	resister	1	NO
FAM86B1	resister	1	NO
FAM86C1	resister	1	NO
FAM98B	resister	1	NO
FAM9A	resister	1	NO
FARSB	resister	1	NO
FAXC	resister	1	NO
FAXDC2	resister	1	NO
FBRS	resister	1	NO
FBXL17	resister	1	NO
FBXL3	resister	1	NO
FBXO17	resister	1	NO
FBXO27	resister	1	NO
FBXO33	resister	1	NO
FBXO44	resister	1	NO
FBXO47	resister	1	NO
FBXW11	resister	1	NO
FCGR1A	resister	1	NO
FCGR2A	resister	1	NO
FCHO2	resister	1	NO
FDX1	resister	1	NO
FECH	resister	1	NO
FEN1	resister	1	NO
FGF12	resister	1	NO
FGG	resister	1	NO
FICD	resister	1	NO
FIGLA	resister	1	NO
FIP1L1	resister	1	NO
FKBPL	resister	1	NO
FLT3LG	resister	1	NO
FLYWCH1	resister	1	NO
FNTB	resister	1	NO
FOLR2	resister	1	NO
FOSL1	resister	1	NO
FOXA1	resister	1	NO
FOXA2	resister	1	NO
FOXJ3	resister	1	NO
FOXK1	resister	1	NO
FOXM1	resister	1	NO
FOXP3	resister	1	NO
FOXQ1	resister	1	NO
FOXRED1	resister	1	NO
FPR2	resister	1	NO
FPR3	resister	1	NO
FREM1	resister	1	NO
FRS3	resister	1	NO
FSD1	resister	1	NO
FSHB	resister	1	NO
FTH1	resister	1	NO
FTMT	resister	1	NO
FTSJ2	resister	1	NO
FURIN	resister	1	NO
FUT1	resister	1	NO
FZD4	resister	1	NO
FZR1	resister	1	NO
G2E3	resister	1	NO
G3BP1	resister	1	NO
GAA	resister	1	NO
GAB2	resister	1	NO
GABBR1	resister	1	NO
GADD45GIP1	resister	1	NO
GAPVD1	resister	1	NO
GARS	resister	1	NO
GART	resister	1	NO
GAST	resister	1	NO
GATA4	resister	1	NO
GATA6	resister	1	NO
GATAD1	resister	1	NO
GCAT	resister	1	NO
GCH1	resister	1	NO
GDF15	resister	1	NO
GFM2	resister	1	NO
GFRA2	resister	1	NO
GGNBP2	resister	1	NO
GIGYF1	resister	1	NO
GINS4	resister	1	NO
GIPC3	resister	1	NO
GLE1	resister	1	NO
GLIPR1L2	resister	1	NO
GLP1R	resister	1	NO
GLTSCR2	resister	1	NO
GMDS	resister	1	NO
GMIP	resister	1	NO
GMNN	resister	1	NO
GNA11	resister	1	NO
GNAS	resister	1	NO
GNAT2	resister	1	NO
GNB2	resister	1	NO
GNB3	resister	1	NO
GNL1	resister	1	NO
GNL2	resister	1	NO
GNPAT	resister	1	NO
GNPTG	resister	1	NO
GNRH1	resister	1	NO
GOLGA7	resister	1	NO
GOSR2	resister	1	NO
GPANK1	resister	1	NO
GPATCH1	resister	1	NO
GPBP1	resister	1	NO
GPBP1L1	resister	1	NO
GPN1	resister	1	NO
GPR108	resister	1	NO
GPR112	resister	1	NO
GPR116	resister	1	NO
GPR153	resister	1	NO
GPR160	resister	1	NO
GPR162	resister	1	NO
GPR32	resister	1	NO
GPR52	resister	1	NO
GPR84	resister	1	NO
GPRC5C	resister	1	NO
GPRC5D	resister	1	NO
GPRIN3	resister	1	NO
GPS1	resister	1	NO
GPSM3	resister	1	NO
GPX1	resister	1	NO
GPX8	resister	1	NO
GRHPR	resister	1	NO
GRIN2D	resister	1	NO
GRM4	resister	1	NO
GRPEL1	resister	1	NO
GSE1	resister	1	NO
GSK3B	resister	1	NO
GSS	resister	1	NO
GSTA5	resister	1	NO
GSTCD	resister	1	NO
GSTT2	resister	1	NO
GTF2H5	resister	1	NO
GTF3C1	resister	1	NO
GTF3C2	resister	1	NO
GUCA1A	resister	1	NO
H2AFV	resister	1	NO
HAGH	resister	1	NO
HAUS4	resister	1	NO
HAUS7	resister	1	NO
HBP1	resister	1	NO
HCLS1	resister	1	NO
HDLBP	resister	1	NO
HEATR1	resister	1	NO
HECTD2	resister	1	NO
HELZ2	resister	1	NO
HERC4	resister	1	NO
HES1	resister	1	NO
HES3	resister	1	NO
HGFAC	resister	1	NO
HGSNAT	resister	1	NO
HHEX	resister	1	NO
HIBCH	resister	1	NO
HIF1A	resister	1	NO
HIGD2A	resister	1	NO
HINFP	resister	1	NO
HIST1H1A	resister	1	NO
HIST1H2AC	resister	1	NO
HIST1H2AI	resister	1	NO
HIST1H2BF	resister	1	NO
HIST1H2BK	resister	1	NO
HIST1H4I	resister	1	NO
HIVEP1	resister	1	NO
HLA-DRB5	resister	1	NO
HLA-G	resister	1	NO
HLA-H	resister	1	NO
HLCS	resister	1	NO
HLTF	resister	1	NO
HMGB2	resister	1	NO
HMGCS1	resister	1	NO
HMGCS2	resister	1	NO
HMOX1	resister	1	NO
HNRNPH1	resister	1	NO
HNRNPM	resister	1	NO
HOXA13	resister	1	NO
HOXA4	resister	1	NO
HOXB3	resister	1	NO
HOXC11	resister	1	NO
HOXD9	resister	1	NO
HS3ST6	resister	1	NO
HSD17B13	resister	1	NO
HSD17B8	resister	1	NO
HSD3B1	resister	1	NO
HSD3B2	resister	1	NO
HSF2BP	resister	1	NO
HSPE1	resister	1	NO
HTR2C	resister	1	NO
HTR7	resister	1	NO
HYLS1	resister	1	NO
IARS	resister	1	NO
IBA57	resister	1	NO
IBTK	resister	1	NO
IDH3A	resister	1	NO
IDNK	resister	1	NO
IER3	resister	1	NO
IFIT3	resister	1	NO
IFNA8	resister	1	NO
IFNL2	resister	1	NO
IFNLR1	resister	1	NO
IGF1R	resister	1	NO
IGF2BP3	resister	1	NO
IGF2R	resister	1	NO
IGFALS	resister	1	NO
IGFBPL1	resister	1	NO
IGFL2	resister	1	NO
IGHMBP2	resister	1	NO
IK	resister	1	NO
IKBKAP	resister	1	NO
IL11	resister	1	NO
IL11RA	resister	1	NO
IL12A	resister	1	NO
IL17C	resister	1	NO
IL1R2	resister	1	NO
IL20RB	resister	1	NO
IL33	resister	1	NO
IL6	resister	1	NO
IMPA1	resister	1	NO
INCENP	resister	1	NO
ING3	resister	1	NO
INHBB	resister	1	NO
INO80C	resister	1	NO
INPP4B	resister	1	NO
INPP5K	resister	1	NO
INSM2	resister	1	NO
INSR	resister	1	NO
INTS10	resister	1	NO
INTS4	resister	1	NO
IP6K3	resister	1	NO
IPO13	resister	1	NO
IPO4	resister	1	NO
IQCF2	resister	1	NO
IRAK1	resister	1	NO
IRAK3	resister	1	NO
IRF3	resister	1	NO
IRF4	resister	1	NO
ITGA2B	resister	1	NO
ITGA4	resister	1	NO
ITGAE	resister	1	NO
ITGB4	resister	1	NO
ITGBL1	resister	1	NO
ITPR3	resister	1	NO
JARID2	resister	1	NO
JMJD1C	resister	1	NO
JMJD4	resister	1	NO
JMJD8	resister	1	NO
JUNB	resister	1	NO
KANK3	resister	1	NO
KANSL1L	resister	1	NO
KANSL2	resister	1	NO
KAT2B	resister	1	NO
KAT5	resister	1	NO
KAT8	resister	1	NO
KATNA1	resister	1	NO
KCMF1	resister	1	NO
KCNC4	resister	1	NO
KCND3	resister	1	NO
KCNH2	resister	1	NO
KCNIP1	resister	1	NO
KCNJ9	resister	1	NO
KCNK13	resister	1	NO
KCNK5	resister	1	NO
KCNMA1	resister	1	NO
KCNRG	resister	1	NO
KCTD1	resister	1	NO
KCTD10	resister	1	NO
KCTD15	resister	1	NO
KCTD20	resister	1	NO
KCTD9	resister	1	NO
KDELR1	resister	1	NO
KDM1B	resister	1	NO
KDM2A	resister	1	NO
KDM2B	resister	1	NO
KDM3A	resister	1	NO
KDM3B	resister	1	NO
KDM5C	resister	1	NO
KDR	resister	1	NO
KDSR	resister	1	NO
KHDC3L	resister	1	NO
KHNYN	resister	1	NO
KIAA0141	resister	1	NO
KIAA0825	resister	1	NO
KIAA1257	resister	1	NO
KIAA1324	resister	1	NO
KIAA1462	resister	1	NO
KIAA2022	resister	1	NO
KIDINS220	resister	1	NO
KIF11	resister	1	NO
KIF12	resister	1	NO
KIF18B	resister	1	NO
KIF1B	resister	1	NO
KIF20B	resister	1	NO
KIF23	resister	1	NO
KIF3A	resister	1	NO
KIR2DL3	resister	1	NO
KIR3DL3	resister	1	NO
KISS1	resister	1	NO
KLB	resister	1	NO
KLF3	resister	1	NO
KLF5	resister	1	NO
KLHDC7A	resister	1	NO
KLHL15	resister	1	NO
KLHL26	resister	1	NO
KLHL31	resister	1	NO
KLRG1	resister	1	NO
KNTC1	resister	1	NO
KPNA1	resister	1	NO
KPNB1	resister	1	NO
KRAS	resister	1	NO
KRIT1	resister	1	NO
KRT37	resister	1	NO
KRT6C	resister	1	NO
KRTAP10-12	resister	1	NO
KRTAP15-1	resister	1	NO
KRTAP19-6	resister	1	NO
KRTAP23-1	resister	1	NO
KRTAP24-1	resister	1	NO
KRTAP5-1	resister	1	NO
KRTCAP2	resister	1	NO
L3MBTL3	resister	1	NO
LAD1	resister	1	NO
LAMB1	resister	1	NO
LAMB4	resister	1	NO
LANCL3	resister	1	NO
LARP7	resister	1	NO
LARS2	resister	1	NO
LAS1L	resister	1	NO
LATS2	resister	1	NO
LBR	resister	1	NO
LCE1A	resister	1	NO
LCORL	resister	1	NO
LDB1	resister	1	NO
LDLRAD1	resister	1	NO
LDLRAD3	resister	1	NO
LEF1	resister	1	NO
LEKR1	resister	1	NO
LEMD3	resister	1	NO
LHX4	resister	1	NO
LILRA3	resister	1	NO
LILRB1	resister	1	NO
LILRB2	resister	1	NO
LILRB5	resister	1	NO
LIMA1	resister	1	NO
LIMD1	resister	1	NO
LIN37	resister	1	NO
LINGO3	resister	1	NO
LIX1	resister	1	NO
LMBR1L	resister	1	NO
LMLN	resister	1	NO
LOC100133267	resister	1	NO
LOC100862671	resister	1	NO
LOC729458	resister	1	NO
LPAR2	resister	1	NO
LPHN2	resister	1	NO
LRFN3	resister	1	NO
LRP8	resister	1	NO
LRPPRC	resister	1	NO
LRRC41	resister	1	NO
LRRCC1	resister	1	NO
LRRTM4	resister	1	NO
LRTM2	resister	1	NO
LSM12	resister	1	NO
LSM5	resister	1	NO
LSM6	resister	1	NO
LTA4H	resister	1	NO
LTBR	resister	1	NO
LTK	resister	1	NO
LTN1	resister	1	NO
LUZP4	resister	1	NO
LY6G5C	resister	1	NO
LY6G6C	resister	1	NO
LYN	resister	1	NO
LYPD1	resister	1	NO
LYRM1	resister	1	NO
MAD2L1	resister	1	NO
MAD2L1BP	resister	1	NO
MADCAM1	resister	1	NO
MAGEA10	resister	1	NO
MAGEC3	resister	1	NO
MAGEE2	resister	1	NO
MAN1A2	resister	1	NO
MAP3K5	resister	1	NO
MAP4K2	resister	1	NO
MAP4K3	resister	1	NO
MAP7D3	resister	1	NO
MAPK13	resister	1	NO
MAPK8	resister	1	NO
MARCKSL1	resister	1	NO
MARK2	resister	1	NO
MAS1L	resister	1	NO
MAST1	resister	1	NO
MAT2B	resister	1	NO
MAU2	resister	1	NO
MBD3L2	resister	1	NO
MBD3L3	resister	1	NO
MBD3L4	resister	1	NO
MBD3L5	resister	1	NO
MBNL2	resister	1	NO
MBTPS1	resister	1	NO
MBTPS2	resister	1	NO
MCAT	resister	1	NO
MCCD1	resister	1	NO
MCM10	resister	1	NO
MCM3AP	resister	1	NO
MCM9	resister	1	NO
MCOLN3	resister	1	NO
MCTS1	resister	1	NO
MDH2	resister	1	NO
MEA1	resister	1	NO
MECOM	resister	1	NO
MECR	resister	1	NO
MED13	resister	1	NO
MED13L	resister	1	NO
MED16	resister	1	NO
MED17	resister	1	NO
MED19	resister	1	NO
MED22	resister	1	NO
MED23	resister	1	NO
MED25	resister	1	NO
MEDAG	resister	1	NO
MEIOB	resister	1	NO
METAP1	resister	1	NO
METTL1	resister	1	NO
METTL13	resister	1	NO
METTL17	resister	1	NO
METTL18	resister	1	NO
METTL21A	resister	1	NO
METTL23	resister	1	NO
METTL25	resister	1	NO
METTL4	resister	1	NO
METTL5	resister	1	NO
METTL6	resister	1	NO
MEX3B	resister	1	NO
MFAP1	resister	1	NO
MFN1	resister	1	NO
MFSD12	resister	1	NO
MGEA5	resister	1	NO
MGST3	resister	1	NO
MIA	resister	1	NO
MICALCL	resister	1	NO
MID1IP1	resister	1	NO
MIDN	resister	1	NO
MIER3	resister	1	NO
MIOS	resister	1	NO
MIPOL1	resister	1	NO
MIS18A	resister	1	NO
MITF	resister	1	NO
MKI67	resister	1	NO
MKI67IP	resister	1	NO
MLEC	resister	1	NO
MLF1	resister	1	NO
MLH3	resister	1	NO
MLL4	resister	1	NO
MLLT10	resister	1	NO
MLLT3	resister	1	NO
MLYCD	resister	1	NO
MMP14	resister	1	NO
MMP25	resister	1	NO
MMP26	resister	1	NO
MNF1	resister	1	NO
MNT	resister	1	NO
MOB2	resister	1	NO
MOB3B	resister	1	NO
MOB4	resister	1	NO
MOCS3	resister	1	NO
MPDU1	resister	1	NO
MPG	resister	1	NO
MPHOSPH10	resister	1	NO
MPLKIP	resister	1	NO
MPZL1	resister	1	NO
MRC1	resister	1	NO
MREG	resister	1	NO
MRGPRX4	resister	1	NO
MRPL1	resister	1	NO
MRPL14	resister	1	NO
MRPL19	resister	1	NO
MRPL27	resister	1	NO
MRPL40	resister	1	NO
MRPL45	resister	1	NO
MRPL47	resister	1	NO
MRPL55	resister	1	NO
MRPS17	resister	1	NO
MRPS18A	resister	1	NO
MRPS24	resister	1	NO
MRPS35	resister	1	NO
MRPS9	resister	1	NO
MRTO4	resister	1	NO
MS4A3	resister	1	NO
MSH2	resister	1	NO
MSH6	resister	1	NO
MSL1	resister	1	NO
MSL2	resister	1	NO
MSLN	resister	1	NO
MSN	resister	1	NO
MSTO1	resister	1	NO
MT1B	resister	1	NO
MT1G	resister	1	NO
MTA1	resister	1	NO
MTFMT	resister	1	NO
MTG1	resister	1	NO
MTHFD2	resister	1	NO
MTIF2	resister	1	NO
MTIF3	resister	1	NO
MTMR2	resister	1	NO
MTRF1L	resister	1	NO
MTRR	resister	1	NO
MTX1	resister	1	NO
MUC1	resister	1	NO
MUC15	resister	1	NO
MVK	resister	1	NO
MYBBP1A	resister	1	NO
MYD88	resister	1	NO
MYH9	resister	1	NO
MYL5	resister	1	NO
MYNN	resister	1	NO
MYO1B	resister	1	NO
MYO1C	resister	1	NO
MYO6	resister	1	NO
MYO9B	resister	1	NO
N6AMT1	resister	1	NO
NAA10	resister	1	NO
NAA25	resister	1	NO
NAA35	resister	1	NO
NAE1	resister	1	NO
NAGPA	resister	1	NO
NAMPT	resister	1	NO
NANOS2	resister	1	NO
NANS	resister	1	NO
NAP1L3	resister	1	NO
NAPG	resister	1	NO
NARS	resister	1	NO
NAT10	resister	1	NO
NAT14	resister	1	NO
NAV1	resister	1	NO
NBR1	resister	1	NO
NCBP2	resister	1	NO
NCKAP1	resister	1	NO
NCOR1	resister	1	NO
NCOR2	resister	1	NO
NCR1	resister	1	NO
NDST1	resister	1	NO
NDUFA1	resister	1	NO
NDUFA11	resister	1	NO
NDUFA2	resister	1	NO
NDUFA3	resister	1	NO
NDUFA4	resister	1	NO
NDUFA5	resister	1	NO
NDUFA7	resister	1	NO
NDUFAF1	resister	1	NO
NDUFAF2	resister	1	NO
NDUFAF7	resister	1	NO
NDUFB10	resister	1	NO
NDUFB11	resister	1	NO
NDUFB2	resister	1	NO
NDUFB3	resister	1	NO
NDUFB4	resister	1	NO
NDUFB5	resister	1	NO
NDUFB8	resister	1	NO
NDUFB9	resister	1	NO
NDUFC2	resister	1	NO
NDUFS1	resister	1	NO
NDUFS2	resister	1	NO
NDUFS3	resister	1	NO
NDUFS4	resister	1	NO
NEDD4L	resister	1	NO
NEGR1	resister	1	NO
NELFB	resister	1	NO
NEUROG3	resister	1	NO
NFATC1	resister	1	NO
NFATC4	resister	1	NO
NFE2L1	resister	1	NO
NFIC	resister	1	NO
NFKB1	resister	1	NO
NFKBIB	resister	1	NO
NFKBIE	resister	1	NO
NFKBIL1	resister	1	NO
NFRKB	resister	1	NO
NFYB	resister	1	NO
NGEF	resister	1	NO
NGLY1	resister	1	NO
NGRN	resister	1	NO
NHLRC2	resister	1	NO
NHLRC3	resister	1	NO
NID1	resister	1	NO
NID2	resister	1	NO
NIP7	resister	1	NO
NIPBL	resister	1	NO
NKD2	resister	1	NO
NKG7	resister	1	NO
NKPD1	resister	1	NO
NKTR	resister	1	NO
NKX2-3	resister	1	NO
NKX3-1	resister	1	NO
NKX6-3	resister	1	NO
NLGN3	resister	1	NO
NLRP5	resister	1	NO
NLRP8	resister	1	NO
NMD3	resister	1	NO
NME1	resister	1	NO
NME1-NME2	resister	1	NO
NME3	resister	1	NO
NME4	resister	1	NO
NMT2	resister	1	NO
NOL10	resister	1	NO
NOP56	resister	1	NO
NOP58	resister	1	NO
NOTCH4	resister	1	NO
NOV	resister	1	NO
NPAS4	resister	1	NO
NPC1	resister	1	NO
NPC2	resister	1	NO
NPM1	resister	1	NO
NPRL2	resister	1	NO
NPRL3	resister	1	NO
NPVF	resister	1	NO
NR2C1	resister	1	NO
NR2F6	resister	1	NO
NR4A3	resister	1	NO
NRAS	resister	1	NO
NRD1	resister	1	NO
NRM	resister	1	NO
NRP2	resister	1	NO
NSD1	resister	1	NO
NSF	resister	1	NO
NSMCE4A	resister	1	NO
NSUN3	resister	1	NO
NSUN6	resister	1	NO
NTNG1	resister	1	NO
NUBPL	resister	1	NO
NUDT1	resister	1	NO
NUDT10	resister	1	NO
NUDT3	resister	1	NO
NUDT4	resister	1	NO
NUDT5	resister	1	NO
NUDT8	resister	1	NO
NUP107	resister	1	NO
NUP133	resister	1	NO
NUP153	resister	1	NO
NUP160	resister	1	NO
NUP205	resister	1	NO
NUP37	resister	1	NO
NUP50	resister	1	NO
NUP54	resister	1	NO
NUP62	resister	1	NO
NUP85	resister	1	NO
NUP98	resister	1	NO
NXF1	resister	1	NO
NXT2	resister	1	NO
OAZ1	resister	1	NO
OBSCN	resister	1	NO
OCLN	resister	1	NO
ODC1	resister	1	NO
OGFOD1	resister	1	NO
OIP5	resister	1	NO
OPCML	resister	1	NO
OPRK1	resister	1	NO
OR10G8	resister	1	NO
OR10H2	resister	1	NO
OR11G2	resister	1	NO
OR14J1	resister	1	NO
OR1B1	resister	1	NO
OR1J1	resister	1	NO
OR1J2	resister	1	NO
OR1M1	resister	1	NO
OR2A12	resister	1	NO
OR2AP1	resister	1	NO
OR2J2	resister	1	NO
OR2T3	resister	1	NO
OR2T35	resister	1	NO
OR2T8	resister	1	NO
OR4M1	resister	1	NO
OR51I1	resister	1	NO
OR51Q1	resister	1	NO
OR52I2	resister	1	NO
OR5A2	resister	1	NO
OR5AR1	resister	1	NO
OR5C1	resister	1	NO
OR6B3	resister	1	NO
OR6C74	resister	1	NO
OR7A17	resister	1	NO
OR8B8	resister	1	NO
ORAI2	resister	1	NO
ORM1	resister	1	NO
ORMDL1	resister	1	NO
OS9	resister	1	NO
OSBPL10	resister	1	NO
OSGEPL1	resister	1	NO
OSR2	resister	1	NO
OTC	resister	1	NO
OTOA	resister	1	NO
OTUD6A	resister	1	NO
OTUD6B	resister	1	NO
OTUD7B	resister	1	NO
OTX2	resister	1	NO
OVGP1	resister	1	NO
OVOL1	resister	1	NO
P2RY12	resister	1	NO
PA2G4	resister	1	NO
PACSIN3	resister	1	NO
PAGE2	resister	1	NO
PAICS	resister	1	NO
PAK2	resister	1	NO
PAM16	resister	1	NO
PAPOLA	resister	1	NO
PAPOLG	resister	1	NO
PAQR4	resister	1	NO
PARD3	resister	1	NO
PARD6A	resister	1	NO
PAX6	resister	1	NO
PCBP2	resister	1	NO
PCDHB7	resister	1	NO
PCDHGA12	resister	1	NO
PCDHGB1	resister	1	NO
PCF11	resister	1	NO
PCID2	resister	1	NO
PCIF1	resister	1	NO
PCNA	resister	1	NO
PDHA1	resister	1	NO
PDHA2	resister	1	NO
PDK1	resister	1	NO
PDPK1	resister	1	NO
PDPN	resister	1	NO
PDPR	resister	1	NO
PDSS1	resister	1	NO
PEF1	resister	1	NO
PEPD	resister	1	NO
PET100	resister	1	NO
PEX11A	resister	1	NO
PEX14	resister	1	NO
PEX3	resister	1	NO
PGD	resister	1	NO
PGLS	resister	1	NO
PHB	resister	1	NO
PHB2	resister	1	NO
PHC2	resister	1	NO
PHF10	resister	1	NO
PHF11	resister	1	NO
PHF14	resister	1	NO
PHGDH	resister	1	NO
PHIP	resister	1	NO
PHKG2	resister	1	NO
PHLDA2	resister	1	NO
PHOX2B	resister	1	NO
PI16	resister	1	NO
PIAS1	resister	1	NO
PICALM	resister	1	NO
PID1	resister	1	NO
PIGB	resister	1	NO
PIM3	resister	1	NO
PIN1	resister	1	NO
PINX1	resister	1	NO
PIP5K1A	resister	1	NO
PIWIL4	resister	1	NO
PKD2	resister	1	NO
PKDREJ	resister	1	NO
PKMYT1	resister	1	NO
PKNOX1	resister	1	NO
PKP2	resister	1	NO
PLA2G4B	resister	1	NO
PLAC8	resister	1	NO
PLAC8L1	resister	1	NO
PLCB4	resister	1	NO
PLCG1	resister	1	NO
PLD3	resister	1	NO
PLEKHB1	resister	1	NO
PLEKHG4B	resister	1	NO
PLEKHH3	resister	1	NO
PLIN1	resister	1	NO
PLIN3	resister	1	NO
PMEL	resister	1	NO
PML	resister	1	NO
PNPO	resister	1	NO
PODN	resister	1	NO
POLD4	resister	1	NO
POLE	resister	1	NO
POLR2A	resister	1	NO
POLR3B	resister	1	NO
POLR3F	resister	1	NO
POLR3K	resister	1	NO
POMP	resister	1	NO
POP1	resister	1	NO
PORCN	resister	1	NO
POU1F1	resister	1	NO
POU2F1	resister	1	NO
POU2F2	resister	1	NO
POU5F1	resister	1	NO
PP2D1	resister	1	NO
PPA1	resister	1	NO
PPA2	resister	1	NO
PPARD	resister	1	NO
PPBP	resister	1	NO
PPFIA1	resister	1	NO
PPIA	resister	1	NO
PPIL3	resister	1	NO
PPIP5K2	resister	1	NO
PPM1A	resister	1	NO
PPM1D	resister	1	NO
PPM1G	resister	1	NO
PPP1CB	resister	1	NO
PPP1R12A	resister	1	NO
PPP1R18	resister	1	NO
PPP1R35	resister	1	NO
PPP1R7	resister	1	NO
PPP1R8	resister	1	NO
PPP2CA	resister	1	NO
PPP2R1A	resister	1	NO
PPP2R3A	resister	1	NO
PPP2R5D	resister	1	NO
PPP4R1	resister	1	NO
PPP6R1	resister	1	NO
PPWD1	resister	1	NO
PRAMEF2	resister	1	NO
PRAMEF7	resister	1	NO
PRAP1	resister	1	NO
PRDM15	resister	1	NO
PRDX6	resister	1	NO
PREP	resister	1	NO
PREPL	resister	1	NO
PREX1	resister	1	NO
PRG2	resister	1	NO
PRIM1	resister	1	NO
PRKAB2	resister	1	NO
PRKACA	resister	1	NO
PRKAR1A	resister	1	NO
PRKCD	resister	1	NO
PRKCDBP	resister	1	NO
PRKDC	resister	1	NO
PRKRA	resister	1	NO
PRMT2	resister	1	NO
PRMT3	resister	1	NO
PRMT6	resister	1	NO
PROL1	resister	1	NO
PROM2	resister	1	NO
PRPF18	resister	1	NO
PRPF19	resister	1	NO
PRPF31	resister	1	NO
PRPF38B	resister	1	NO
PRPF40A	resister	1	NO
PRPF8	resister	1	NO
PRPS1	resister	1	NO
PRR18	resister	1	NO
PRR22	resister	1	NO
PRR25	resister	1	NO
PRR3	resister	1	NO
PRRC2A	resister	1	NO
PRRC2C	resister	1	NO
PRRT2	resister	1	NO
PRRX1	resister	1	NO
PRSS21	resister	1	NO
PRSS22	resister	1	NO
PRSS23	resister	1	NO
PRSS27	resister	1	NO
PRSS33	resister	1	NO
PRSS35	resister	1	NO
PRSS36	resister	1	NO
PRSS41	resister	1	NO
PRTN3	resister	1	NO
PSAP	resister	1	NO
PSD3	resister	1	NO
PSMA5	resister	1	NO
