gene	role	n_measurements	wu2025_dp_overlap
CS	resister	2	NO
CSDE1	resister	2	NO
CSNK2B	resister	2	NO
CSTF1	resister	2	NO
CTCF	resister	2	NO
CTDNEP1	resister	2	NO
CUL3	resister	2	NO
CWC27	resister	2	NO
CXCL1	resister	2	NO
CXCR4	resister	2	NO
CXXC1	resister	2	NO
CYTH3	resister	2	NO
DAPK3	resister	2	YES
DDX42	resister	2	NO
DEK	resister	2	NO
DENR	resister	2	NO
DHX29	resister	2	NO
DIMT1	resister	2	NO
DNAJC9	resister	2	YES
DNASE1L2	resister	2	YES
DNLZ	resister	2	YES
DNMT1	resister	2	NO
DNTTIP1	resister	2	NO
DOHH	resister	2	YES
DPH5	resister	2	NO
DUSP5	resister	2	YES
DUSP6	resister	2	NO
E2F8	resister	2	NO
EDEM3	resister	2	NO
EIF1AX	resister	2	NO
EIF2S1	resister	2	NO
EIF3K	resister	2	YES
EIF4A1	resister	2	NO
EIF4A3	resister	2	NO
EIF4E	resister	2	NO
EIF4G2	resister	2	NO
ELF3	resister	2	NO
ELF4	resister	2	NO
EML1	resister	2	YES
EXTL3	resister	2	YES
F10	resister	2	YES
FAM111A	resister	2	NO
FAM120B	resister	2	NO
FAM49B	resister	2	YES
FARSA	resister	2	NO
FBXW8	resister	2	YES
FGF4	resister	2	NO
FGFR1OP	resister	2	NO
FIBP	resister	2	YES
FOS	resister	2	NO
FOXO3	resister	2	NO
FPGS	resister	2	YES
FRYL	resister	2	NO
GABPA	resister	2	NO
GANAB	resister	2	NO
GHSR	resister	2	NO
GLO1	resister	2	NO
GNB1L	resister	2	NO
GNPTAB	resister	2	YES
GPR31	resister	2	NO
GRSF1	resister	2	NO
GSX2	resister	2	NO
GTF3C4	resister	2	NO
GTPBP4	resister	2	YES
H2AFZ	resister	2	NO
HAS1	resister	2	NO
HCFC1	resister	2	NO
HCFC1R1	resister	2	NO
HDAC3	resister	2	YES
HECTD1	resister	2	NO
HIST1H2BO	resister	2	NO
HK2	resister	2	NO
HLA-B	resister	2	NO
HLA-F	resister	2	NO
HNRNPAB	resister	2	YES
HSD17B10	resister	2	NO
HSD17B12	resister	2	NO
IFNA16	resister	2	YES
INO80	resister	2	NO
INTS5	resister	2	YES
INTS6	resister	2	NO
ITGB1	resister	2	YES
IWS1	resister	2	NO
JMJD6	resister	2	NO
KANSL1	resister	2	NO
KAT7	resister	2	NO
KDELR2	resister	2	NO
KDM1A	resister	2	NO
KDM8	resister	2	NO
KEAP1	resister	2	NO
KHSRP	resister	2	NO
KLF2	resister	2	NO
KLHL9	resister	2	YES
KMT2B	resister	2	YES
KREMEN2	resister	2	NO
LAIR1	resister	2	YES
LAMTOR3	resister	2	NO
LAMTOR4	resister	2	NO
LENG8	resister	2	YES
LILRA1	resister	2	YES
LMX1B	resister	2	YES
LNX1	resister	2	NO
LOC102724652	resister	2	NO
LRG1	resister	2	NO
LRRC8A	resister	2	YES
LUC7L	resister	2	NO
LYRM9	resister	2	NO
LZTR1	resister	2	NO
MAK16	resister	2	NO
MAPK14	resister	2	NO
MAPK8IP3	resister	2	NO
MAPKAP1	resister	2	YES
MATR3	resister	2	YES
MBNL1	resister	2	NO
MEAF6	resister	2	NO
MED12	resister	2	NO
MED24	resister	2	NO
METRN	resister	2	NO
MLANA	resister	2	YES
MLLT1	resister	2	YES
MRPS21	resister	2	NO
MSL3	resister	2	NO
MTO1	resister	2	NO
MYF6	resister	2	NO
MYH1	resister	2	NO
NBAS	resister	2	NO
NDC1	resister	2	NO
NDUFA10	resister	2	NO
NDUFA8	resister	2	YES
NDUFAF5	resister	2	NO
NDUFAF6	resister	2	YES
NDUFB7	resister	2	YES
NDUFS6	resister	2	NO
NDUFS8	resister	2	NO
NDUFV1	resister	2	YES
NDUFV2	resister	2	NO
NEK2	resister	2	NO
NELFE	resister	2	NO
NFIL3	resister	2	NO
NHLRC4	resister	2	YES
NMT1	resister	2	NO
NONO	resister	2	NO
NOTCH3	resister	2	NO
NRBP1	resister	2	NO
NUDT21	resister	2	NO
NUP188	resister	2	YES
NUP214	resister	2	YES
NUP93	resister	2	NO
OR10H3	resister	2	YES
OXSM	resister	2	NO
PAN2	resister	2	NO
PAPD5	resister	2	NO
PAPD7	resister	2	NO
PDAP1	resister	2	NO
PDSS2	resister	2	NO
PFN1	resister	2	NO
PHF1	resister	2	NO
PHF8	resister	2	NO
PIH1D1	resister	2	NO
PIK3CA	resister	2	NO
PLIN4	resister	2	YES
PMAIP1	resister	2	NO
PPP2R3C	resister	2	NO
PPP2R4	resister	2	YES
PPP4C	resister	2	NO
PPP6R3	resister	2	NO
PPRC1	resister	2	NO
PRDX1	resister	2	NO
PRKCSH	resister	2	NO
PSMA6	resister	2	NO
PSMB5	resister	2	NO
PSME1	resister	2	YES
PTEN	resister	2	NO
RAB40C	resister	2	NO
RAD51	resister	2	NO
RAD54L2	resister	2	NO
RBBP4	resister	2	NO
RBM18	resister	2	NO
RBM22	resister	2	YES
RECQL4	resister	2	YES
RELB	resister	2	YES
RFWD2	resister	2	NO
RGPD1	resister	2	NO
RGPD2	resister	2	NO
RGPD3	resister	2	NO
RGPD4	resister	2	NO
RGPD5	resister	2	NO
RGPD6	resister	2	NO
RGPD8	resister	2	NO
RHBDL1	resister	2	NO
RHEB	resister	2	NO
RHOT2	resister	2	NO
RING1	resister	2	NO
RNF146	resister	2	NO
RNF220	resister	2	NO
RNF41	resister	2	NO
RPAP2	resister	2	NO
RPL10A	resister	2	NO
RPL13	resister	2	NO
RPL3L	resister	2	NO
RPL7L1	resister	2	NO
RPL8	resister	2	YES
RPS10	resister	2	NO
RPS11	resister	2	NO
RPS19	resister	2	NO
RPS2	resister	2	NO
RPS29	resister	2	NO
RPS6KA3	resister	2	NO
RPS6KB1	resister	2	NO
RRAGC	resister	2	NO
SAFB	resister	2	NO
SCAF8	resister	2	NO
SDHA	resister	2	NO
SEC31A	resister	2	NO
SEMA6B	resister	2	NO
SERAC1	resister	2	NO
SHFM1	resister	2	NO
SIRT1	resister	2	YES
SLC24A4	resister	2	NO
SLC25A20	resister	2	YES
SLC25A3	resister	2	YES
SLC25A32	resister	2	YES
SLC25A51	resister	2	NO
SLC30A1	resister	2	NO
SLC35B2	resister	2	NO
SLC39A9	resister	2	NO
SMS	resister	2	NO
SNAPC3	resister	2	NO
SOD2	resister	2	NO
SOX4	resister	2	NO
SOX8	resister	2	YES
SP3	resister	2	NO
SPEN	resister	2	NO
SPPL3	resister	2	NO
STYXL1	resister	2	NO
SUPT16H	resister	2	YES
SUPV3L1	resister	2	YES
SUV39H1	resister	2	NO
SYNGR3	resister	2	NO
TAF8	resister	2	NO
TAOK1	resister	2	NO
TAPBPL	resister	2	NO
TATDN2	resister	2	NO
TBPL1	resister	2	NO
TCF23	resister	2	NO
TCP11	resister	2	NO
TFRC	resister	2	NO
TGFB1	resister	2	YES
TGIF1	resister	2	NO
THOC6	resister	2	NO
TMED2	resister	2	YES
TMEM181	resister	2	YES
TNPO1	resister	2	NO
TRAF1	resister	2	NO
TRAFD1	resister	2	YES
TSC2	resister	2	NO
TUBA1C	resister	2	NO
TWISTNB	resister	2	NO
TXNRD2	resister	2	NO
TYROBP	resister	2	YES
UBA52	resister	2	YES
UBE2R2	resister	2	NO
UBE2S	resister	2	NO
UPF2	resister	2	YES
USP10	resister	2	NO
USP7	resister	2	NO
USP9X	resister	2	NO
VCAM1	resister	2	NO
VPS72	resister	2	NO
VRK1	resister	2	NO
WAC	resister	2	NO
WDR33	resister	2	NO
WDR55	resister	2	YES
WDR59	resister	2	NO
WDR83	resister	2	NO
WNK1	resister	2	YES
WWP1	resister	2	NO
YTHDC1	resister	2	NO
ZBTB22	resister	2	NO
ZBTB7A	resister	2	YES
ZEB2	resister	2	NO
ZMYND8	resister	2	NO
ZNF146	resister	2	YES
ZNF561	resister	2	YES
ZNF592	resister	2	NO
hsa-mir-6891	resister	2	NO
9-Sep	resister	1	NO
A3GALT2	resister	1	NO
A4GNT	resister	1	NO
AAAS	resister	1	NO
AADACL3	resister	1	NO
AAGAB	resister	1	NO
AASS	resister	1	NO
AATF	resister	1	NO
ABCB7	resister	1	NO
ABCC9	resister	1	NO
ABCF1	resister	1	NO
ABCF2	resister	1	NO
ABHD8	resister	1	NO
ABL1	resister	1	NO
ACACA	resister	1	NO
ACACB	resister	1	NO
ACAT2	resister	1	NO
ACKR2	resister	1	NO
ACOT1	resister	1	NO
ACOT6	resister	1	NO
ACP5	resister	1	NO
ACSBG2	resister	1	NO
ACSF3	resister	1	NO
ACSM5	resister	1	NO
ACTB	resister	1	NO
ACTC1	resister	1	NO
ACTG1	resister	1	NO
ACTR1B	resister	1	NO
ACY3	resister	1	NO
ADAM11	resister	1	NO
ADAMTS13	resister	1	NO
ADAMTS17	resister	1	NO
ADAMTS18	resister	1	NO
ADK	resister	1	NO
ADM5	resister	1	NO
ADRA2A	resister	1	NO
ADRBK1	resister	1	NO
